TotalPop,WhitePop,NonwhitePop,NumHouses,Year,CommunityDistrict
82159,1097,81062,29167,2000,BX1
91497,1428,90069,31623,2010,BX1
46824,582,46242,15691,2000,BX2
52246,694,51552,17859,2010,BX2
68574,678,67896,24473,2000,BX3
79762,918,78844,28182,2010,BX3
139563,2020,137543,48011,2000,BX4
146441,2193,144248,51652,2010,BX4
128313,1917,126396,42691,2000,BX5
128200,1791,126409,43460,2010,BX5
75688,7021,68667,26471,2000,BX6
83268,6219,77049,29291,2010,BX6
141411,15164,126247,50579,2000,BX7
139286,10023,129263,50161,2010,BX7
101332,44609,56723,43077,2000,BX8
101731,39190,62541,44164,2010,BX8
167859,7065,160794,63459,2000,BX9
172298,4749,167549,64604,2010,BX9
115948,56063,59885,50515,2000,BX10
120392,41554,78838,52511,2010,BX10
110706,41839,68867,43416,2000,BX11
113232,31037,82195,43691,2010,BX11
149077,14977,134100,56002,2000,BX12
152344,10869,141475,57351,2010,BX12
160338,77040,83298,58692,2000,BRK1
173083,105311,67772,72105,2010,BRK1
98620,33931,64689,45556,2000,BRK2
99617,45970,53647,50753,2010,BRK2
143867,2056,141811,58162,2000,BRK3
152985,16634,136351,65614,2010,BRK3
104358,3026,101332,33928,2000,BRK4
112634,9564,103070,39992,2010,BRK4
173198,8785,164413,59529,2000,BRK5
182896,6237,176659,65612,2010,BRK5
104054,57106,46948,48945,2000,BRK6
104709,65691,39018,50268,2010,BRK6
120063,27369,92694,40831,2000,BRK7
126230,29464,96766,42506,2010,BRK7
96076,6536,89540,40485,2000,BRK8
96317,16056,80261,43351,2010,BRK8
104014,11733,92281,38324,2000,BRK9
98429,18825,79604,38710,2010,BRK9
122542,84120,38422,53568,2000,BRK10
124491,76537,47954,57750,2010,BRK10
172129,111651,60478,66214,2000,BRK11
181981,90741,91240,72420,2010,BRK11
185046,120697,64349,59869,2000,BRK12
191382,125152,66230,61101,2010,BRK12
106120,58684,47436,43922,2000,BRK13
104278,59405,44873,46298,2010,BRK13
168806,60268,108538,59614,2000,BRK14
160664,59590,101074,60417,2010,BRK14
160319,121052,39267,64359,2000,BRK15
159650,114721,44929,70595,2010,BRK15
85343,589,84754,30780,2000,BRK16
86468,858,85610,32969,2010,BRK16
165753,2577,163176,59045,2000,BRK17
155252,2204,153048,59098,2010,BRK17
194653,67303,127350,69036,2000,BRK18
193543,50277,143266,70634,2010,BRK18
34420,23041,11379,17998,2000,MN1
60978,40810,20168,34139,2010,MN1
93119,69683,23436,56028,2000,MN2
90016,67769,22247,56211,2010,MN2
164407,46396,118011,72681,2000,MN3
163277,52898,110379,75975,2010,MN3
87479,52721,34758,55125,2000,MN4
103245,62037,41208,69598,2010,MN4
44028,31813,12215,30588,2000,MN5
51673,34962,16711,36550,2010,MN5
136152,103884,32268,91189,2000,MN6
142745,103667,39078,92067,2010,MN6
207699,137652,70047,120504,2000,MN7
209084,140850,68234,120694,2010,MN7
217063,179355,37708,135898,2000,MN8
219920,173711,46209,136751,2010,MN8
111724,19837,91887,42695,2000,MN9
110193,25385,84808,42973,2010,MN9
107109,2189,104920,53261,2000,MN10
115723,11050,104673,55513,2010,MN10
117743,8565,109178,45964,2000,MN11
120511,14442,106069,50226,2010,MN11
208414,28242,180172,73230,2000,MN12
190020,33442,156578,72910,2010,MN12
211220,88606,122614,80506,2000,QN1
191105,86531,104574,83019,2010,QN1
109920,33877,76043,42943,2000,QN2
113200,32470,80730,47525,2010,QN2
169083,25351,143732,54784,2000,QN3
171576,20334,151242,56181,2010,QN3
167005,17540,149465,52087,2000,QN4
172598,12343,160255,54613,2010,QN4
165911,103128,62783,64674,2000,QN5
169190,92814,76376,65818,2010,QN5
115967,71670,44297,55483,2000,QN6
113257,62651,50606,55250,2010,QN6
242952,100231,142721,92035,2000,QN7
247354,73668,173686,95475,2010,QN7
146594,58485,88109,56243,2000,QN8
151107,52871,98236,56863,2010,QN8
141608,40156,101452,47587,2000,QN9
143317,28029,115288,47999,2010,QN9
127274,43097,84177,42751,2000,QN10
122396,31712,90684,41391,2010,QN10
116404,70210,46194,45912,2000,QN11
116431,54690,61741,45688,2010,QN11
223602,4837,218765,75111,2000,QN12
225919,3813,222106,76426,2010,QN12
196284,36145,160139,64825,2000,QN13
188593,24619,163974,63216,2010,QN13
106686,39771,66915,41610,2000,QN14
114978,40459,74519,45250,2010,QN14
162609,81264,81345,60986,2000,SI1
175756,69525,106231,65422,2010,SI1
127071,98078,28993,47253,2000,SI2
132003,93318,38685,50319,2010,SI2
152908,136259,16649,55286,2000,SI3
160209,136851,23358,60584,2010,SI3
